address,city,category,price_text,price_eur,features,link
"Latgales iela 250, Latgale",Rīga,Tirdzniecība,98 000 €,98000,222.3 m²8 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-latgale-latgales-iela/4135305?i=20
"Jūrkalnes iela 79, Zolitūde",Rīga,,350 000 €,350000,2039 m²43 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-zolitude-jurkalnes-iela/2286520?i=21
"Firsa Sadovņikova iela 39, Latgale",Rīga,"Tirdzniecība, Pakalpojumi",352 590 €,352590,167.9 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-latgale-firsa-sadovnikova-iela/6726918?i=22
Bullis,"Salaspils pag., Salaspils nov.",,320 000 €,320000,,https://www.city24.lv/real-estate/commercials-for-sale/salaspils-nov-salaspils-pag/6534117?i=23
"Lāčplēša iela 24, Centrs",Rīga,Tirdzniecība,126 000 €,126000,90 m²5 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-lacplesa-iela/3659012?i=24
"Palasta iela 9, Centrs",Rīga,Birojs,159 000 €,159000,109.1 m²3 ist.1/3 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-palasta-iela/6778738?i=25
"Andreja Pumpura iela 5, Centrs",Rīga,Investīciju objekts,145 600 €,145600,150 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-andreja-pumpura-iela/6114020?i=26
"Kalēju iela 18/20, Vecrīga",Rīga,"Birojs, Ēdināšanas pakalpojumi, Pakalpojumi, Tirdzniecība",510 000 €,510000,232.7 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-vecriga-kaleju-iela/3587686?i=27
"Purvciema iela 18, Purvciems",Rīga,,345 000 €,345000,852 m²2344 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-purvciems-purvciema-iela-18/4163674?i=28
"Kalēju iela 18/20, Vecrīga",Rīga,"Tirdzniecība, Pakalpojumi, Ēdināšanas pakalpojumi",585 000 €,585000,386.5 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-vecriga-kaleju-iela/2803444?i=29
"13. janvāra iela 21, Centrs",Rīga,Tirdzniecība,300 000 €,300000,135.8 m²4 ist.1/7 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-13-janvara-iela/2943802?i=30
"""Trīssaliņas""","Grundzāles pag., Smiltenes nov.","Investīciju objekts, Cits",290 000 €,290000,650 m²,https://www.city24.lv/real-estate/commercials-for-sale/smiltenes-nov-grundzales-pag-trissalinas/8592628?i=31
"Latgales iela 433, Ķengarags",Rīga,Birojs,1 450 000 €,1450000,3865 m²6024 m²10 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-kengarags-latgales-iela/1859972?i=32
"Latgales iela 433, Ķengarags",Rīga,,1 450 000 €,1450000,3865 m²6024 m²10 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-kengarags-latgales-iela/3102850?i=33
"Krišjāņa Valdemāra iela 83, Centrs",Rīga,"Birojs, Investīciju objekts, Noliktava/ražošana, Tirdzniecība, Cits",80 000 €,80000,58 m²3 ist.1/7 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-krisjana-valdemara-iela/6754934?i=34
"Avotu iela 34, Centrs",Rīga,,650 000 €,650000,1284 m²1402 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-avotu-iela/6267863?i=35
"Skolas iela 14, Centrs",Rīga,Tirdzniecība,400 000 €,400000,381.5 m²10 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-skolas-iela/1376668?i=36
"Tērbatas iela 2-8, Centrs",Rīga,,3 500 000 €,3500000,970 m²4689 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-terbatas-iela/4847810?i=37
"Tērbatas iela 2-4, Centrs",Rīga,,5 000 000 €,5000000,2046.6 m²4689 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-terbatas-iela/4801838?i=38
Tērbatas iela 2-2,Rīga,Ēdināšanas pakalpojumi,3 000 000 €,3000000,887.2 m²4689 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-terbatas-iela/8678452?i=39
"Satiksmes iela, Torņakalns",Rīga,Tirdzniecība,280 000 €,280000,161.5 m²5 ist.1/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-tornakalns-satiksmes-iela/9040509?i=40
Reiņu meža iela 12,Liepāja,Tirdzniecība,43 000 €,43000,229 m²,https://www.city24.lv/real-estate/commercials-for-sale/liepaja-reinu-meza-iela/6765815?i=41
"Jasmuižas iela 5, Pļavnieki",Rīga,,47 900 €,47900,130 m²1/1 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-plavnieki-jasmuizas-iela/2613108?i=42
"Latgales iela 75, Latgale",Rīga,,250 000 €,250000,380 m²1192 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-latgale-latgales-iela/7523133?i=43
"Matīsa iela 37-1, Centrs",Rīga,"Birojs, Tirdzniecība, Cits, Investīciju objekts",160 000 €,160000,326 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-matisa-iela/7641993?i=44
"Marijas iela 2, Centrs",Rīga,Birojs,1 700 000 €,1700000,1060 m²2168 m²29 ist.3/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-marijas-iela/4419650?i=45
"Grēcinieku iela 26, Centrs",Rīga,Investīciju objekts,1 000 000 €,1000000,400 m²4 ist.1/2 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-grecinieku-iela/5634948?i=46
"Tērbatas iela, Centrs",Rīga,"Ēdināšanas pakalpojumi, Tirdzniecība, Pakalpojumi",320 000 €,320000,191 m²1/3 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-terbatas-iela/2104216?i=47
"Skolas iela 4, Centrs",Rīga,Investīciju objekts,120 000 €,120000,108.8 m²2 ist.6/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-skolas-iela/2438194?i=48
"Krišjāņa Barona iela 130, Centrs",Rīga,,1 700 000 €,1700000,3285 m²20 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-krisjana-barona-iela/4800687?i=49
"Lielupes iela 23, Jaundubulti",Jūrmala,,628 000 €,628000,2875 m²3801 m²50 ist.,https://www.city24.lv/real-estate/commercials-for-sale/jurmala-jaundubulti-lielupes-iela/7486903?i=0
"Ganību dambis 22a, Centrs",Rīga,Birojs,125 000 €,125000,13 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-ganibu-dambis/4956524?i=1
"Grēcinieku iela 26, Centrs",Rīga,Tirdzniecība,1 000 000 €,1000000,400 m²4 ist.1/2 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-grecinieku-iela/7984194?i=2
"Pūces iela 19A, Purvciems",Rīga,"Birojs, Cits, Tirdzniecība",70 000 €,70000,180.1 m²0/5 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-purvciems-puces-iela/7098783?i=3
